SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,Yahoo Ticker,Sector,Industry
GKENERGY,GK Energy Limited,EQ,26-Sep-25,2,1,INE1AG301022,2,GKENERGY.NS,Utilities,Utilities - Renewable
GKSL,Gujarat Kidney And Super Speciality Limited,EQ,30-Dec-25,2,1,INE0V0W01025,2,GKSL.NS,Healthcare,Medical Care Facilities
GKWLIMITED,GKW Limited,EQ,20-Jul-09,10,1,INE528A01020,10,GKWLIMITED.NS,Industrials,Specialty Business Services
GLAND,Gland Pharma Limited,EQ,20-Nov-20,1,1,INE068V01023,1,GLAND.NS,Healthcare,Drug Manufacturers - Specialty & Generic
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,15-Dec-00,10,1,INE159A01016,10,GLAXO.NS,Healthcare,Drug Manufacturers - General
GLENMARK,Glenmark Pharmaceuticals Limited,EQ,07-Feb-00,1,1,INE935A01035,1,GLENMARK.NS,Healthcare,Drug Manufacturers - Specialty & Generic
GLFL,Gujarat Lease Financing Limited,BE,08-Feb-95,10,1,INE540A01017,10,GLFL.NS,Financial Services,Shell Companies
GLOBAL,Global Education Limited,EQ,07-Dec-20,2,1,INE291W01037,2,GLOBAL.NS,Consumer Defensive,Education & Training Services
GLOBALE,Globale Tessile Limited,BE,27-Aug-24,10,1,INE0URU01010,10,GLOBALE.NS,Consumer Cyclical,Textile Manufacturing
GLOBALVECT,Global Vectra Helicorp Limited,EQ,27-Oct-06,10,1,INE792H01019,10,GLOBALVECT.NS,Industrials,Airports & Air Services
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,EQ,07-Oct-20,2,1,INE581X01021,2,GLOBE.NS,Consumer Cyclical,Textile Manufacturing
GLOBECIVIL,Globe Civil Projects Limited,BE,01-Jul-25,10,1,INE0V3U01015,10,GLOBECIVIL.NS,Industrials,Engineering & Construction
GLOBUSSPR,Globus Spirits Limited,EQ,23-Sep-09,10,1,INE615I01010,10,GLOBUSSPR.NS,Consumer Defensive,Beverages - Wineries & Distilleries
GLOSTERLTD,Gloster Limited,EQ,26-Apr-24,10,1,INE350Z01018,10,GLOSTERLTD.NS,Consumer Cyclical,Textile Manufacturing
GLOTTIS,Glottis Limited,BE,07-Oct-25,2,1,INE0TQE01026,2,GLOTTIS.NS,Industrials,Integrated Freight & Logistics
GMBREW,GM Breweries Limited,EQ,23-Aug-95,10,1,INE075D01018,10,GMBREW.NS,Consumer Defensive,Beverages - Wineries & Distilleries
GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ,17-Dec-97,2,1,INE131A01031,2,GMDCLTD.NS,Energy,Thermal Coal
GMMPFAUDLR,GMM Pfaudler Limited,EQ,05-Mar-18,2,1,INE541A01023,2,GMMPFAUDLR.NS,Industrials,Specialty Industrial Machinery
GMRAIRPORT,GMR AIRPORTS LIMITED,EQ,21-Aug-06,1,1,INE776C01039,1,GMRAIRPORT.NS,Industrials,Airports & Air Services
GMRP&UI,GMR Power and Urban Infra Limited,EQ,23-Mar-22,5,1,INE0CU601026,5,GMRP&UI.NS,Energy,Thermal Coal
GNA,GNA Axles Limited,EQ,26-Sep-16,10,1,INE934S01014,10,GNA.NS,Consumer Cyclical,Auto Parts
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,17-May-95,10,1,INE113A01013,10,GNFC.NS,Basic Materials,Chemicals
GNRL,Gujarat Natural Resources Limited,EQ,20-Apr-26,10,1,INE207H01018,10,GNRL.NS,,
GOACARBON,Goa Carbon Limited,EQ,05-Jun-07,10,1,INE426D01013,10,GOACARBON.NS,Basic Materials,Specialty Chemicals
GOCLCORP,GOCL Corporation Limited,EQ,26-Jun-14,2,1,INE077F01035,2,GOCLCORP.NS,Basic Materials,Specialty Chemicals
GOCOLORS,Go Fashion (India) Limited,EQ,30-Nov-21,10,1,INE0BJS01011,10,GOCOLORS.NS,Consumer Cyclical,Apparel Retail
GODAVARIB,Godavari Biorefineries Limited,EQ,30-Oct-24,10,1,INE497S01012,10,GODAVARIB.NS,Basic Materials,Chemicals
GODFRYPHLP,Godfrey Phillips India Limited,EQ,24-Jul-96,2,1,INE260B01028,2,GODFRYPHLP.NS,Consumer Defensive,Tobacco
GODIGIT,Go Digit General Insurance Limited,EQ,23-May-24,10,1,INE03JT01014,10,GODIGIT.NS,Financial Services,Insurance - Property & Casualty
